numerai_ticker,ticker_cleaned,name,market_country,trends_us
MRU.TO,MRU,metro,ca,
CRON.TO,CRON,cronos group,ca,
SHOP.TO,SHOP,shopify,ca,
NWC.TO,NWC,north west,ca,
FSV.TO,FSV,firstservice,ca,
CCO.TO,CCO,cameco,ca,
ITP.TO,ITP,intertape polymer group,ca,
H.TO,H,hydro one,ca,
ZZZ.TO,ZZZ,sleep country canada holdings,ca,
TOY.TO,TOY,spin master,ca,
EMA.TO,EMA,emera,ca,
SIL.TO,SIL,silvercrest metals,ca,
ELD.TO,ELD,eldorado gold,ca,
SSRM.TO,SSRM,ssr mining,ca,
TXG.TO,TXG,torex gold resources,ca,
CIGI.TO,CIGI,colliers international group,ca,
CCA.TO,CCA,cogeco communications,ca,
RCH.TO,RCH,richelieu hardware,ca,
BLDP.TO,BLDP,ballard power systems,ca,
BHC.TO,BHC,bausch health companies,ca,
STN.TO,STN,stantec,ca,
VET.TO,VET,vermilion energy,ca,
CIX.TO,CIX,ci financial,ca,
SJ.TO,SJ,stellajones,ca,
GOOS.TO,GOOS,canada goose holdings,ca,
MTL.TO,MTL,mullen group,ca,
REAL.TO,REAL,real matters,ca,
YRI.TO,YRI,yamana gold,ca,
JWEL.TO,JWEL,jamieson wellness,ca,
ERO.TO,ERO,ero copper,ca,
LSPD.TO,LSPD,lightspeed pos,ca,
GFL.TO,GFL,gfl environmental,ca,
OTEX.TO,OTEX,open text,ca,
IMG.TO,IMG,iamgold,ca,
TRQ.TO,TRQ,turquoise hill resources,ca,
ENGH.TO,ENGH,enghouse systems,ca,
PBH.TO,PBH,premium brands holdings,ca,
LIF.TO,LIF,labrador iron ore royalty,ca,
NPI.TO,NPI,northland power,ca,
ATD-B.TO,ATD,alimentation couchetard,ca,
DML.TO,DML,denison mines,ca,
MRE.TO,MRE,martinrea international,ca,
RBA.TO,RBA,ritchie bros auctioneers,ca,
SAP.TO,SAP,saputo,ca,
SPB.TO,SPB,superior plus,ca,
BB.TO,BB,blackberry,ca,
IPL.TO,IPL,inter pipeline,ca,
DSG.TO,DSG,descartes systems group,ca,
WTE.TO,WTE,westshore terminals investment,ca,
ARX.TO,ARX,arc resources,ca,
BLX.TO,BLX,boralex,ca,
KL.TO,KL,kirkland lake gold,ca,
WPM.TO,WPM,wheaton precious metals,ca,
NGD.TO,NGD,new gold,ca,
SEA.TO,SEA,seabridge gold,ca,
FM.TO,FM,first quantum minerals,ca,
FVI.TO,FVI,fortuna silver mines,ca,
EDR.TO,EDR,endeavour silver,ca,
OR.TO,OR,osisko gold royalties,ca,
HBM.TO,HBM,hudbay minerals,ca,
LUN.TO,LUN,lundin mining,ca,
SVM.TO,SVM,silvercorp metals,ca,
FR.TO,FR,first majestic silver,ca,
WPRT.TO,WPRT,westport fuel systems,ca,
WCN.TO,WCN,waste connections,ca,
GIL.TO,GIL,gildan activewear,ca,
CLS.TO,CLS,celestica,ca,
AQN.TO,AQN,algonquin power utilities,ca,
AUP.TO,AUP,aurinia pharmaceuticals,ca,
ALA.TO,ALA,altagas,ca,
CJR-B.TO,CJR,corus entertainment,ca,
AGI.TO,AGI,alamos gold,ca,
MFC.TO,MFC,manulife financial,ca,
BYD.TO,BYD,boyd group services,ca,
WDO.TO,WDO,wesdome gold mines,ca,
IAG.TO,IAG,ia financial,ca,
PPL.TO,PPL,pembina pipeline,ca,
SLF.TO,SLF,sun life financial,ca,
MAG.TO,MAG,mag silver,ca,
CPG.TO,CPG,crescent point energy,ca,
TFII.TO,TFII,tfi international,ca,
EIF.TO,EIF,exchange income,ca,
KEY.TO,KEY,keyera,ca,
INE.TO,INE,innergex renewable energy,ca,
VFF.TO,VFF,village farms international,ca,
CG.TO,CG,centerra gold,ca,
IFC.TO,IFC,intact financial,ca,
TRIL.TO,TRIL,trillium therapeutics,ca,
DOO.TO,DOO,brp,ca,
AIF.TO,AIF,altus group,ca,
CJT.TO,CJT,cargojet,ca,
AC.TO,AC,air canada,ca,
QSR.TO,QSR,restaurant brands international,ca,
EFN.TO,EFN,element fleet management,ca,
NFI.TO,NFI,nfi group,ca,
CSU.TO,CSU,constellation software,ca,
SSL.TO,SSL,sandstorm gold,ca,
FNV.TO,FNV,franconevada,ca,
BTO.TO,BTO,b2gold,ca,
SII.TO,SII,sprott,ca,
LAC.TO,LAC,lithium americas,ca,
CPX.TO,CPX,capital power,ca,
DOL.TO,DOL,dollarama,ca,
CVE.TO,CVE,cenovus energy,ca,
PXT.TO,PXT,parex resources,ca,
SIA.TO,SIA,sienna senior living,ca,
TCN.TO,TCN,tricon residential,ca,
WCP.TO,WCP,whitecap resources,ca,
MEG.TO,MEG,meg energy,ca,
TOU.TO,TOU,tourmaline oil,ca,
PVG.TO,PVG,pretium resources,ca,
ATZ.TO,ATZ,aritzia,ca,
GEI.TO,GEI,gibson energy,ca,
WSP.TO,WSP,wsp global,ca,
LHC.JO,LHC,life healthcare group holdings,za,
RBP.JO,RBP,royal bafokeng platinum,za,
NPN.JO,NPN,naspers,za,
NED.JO,NED,nedbank group,za,
NTC.JO,NTC,netcare,za,
SBK.JO,SBK,standard bank group,za,
SPP.JO,SPP,spar group,za,
LBH.JO,LBH,liberty holdings,za,
ARL.JO,ARL,astral foods,za,
WHL.JO,WHL,woolworths holdings,za,
DSY.JO,DSY,discovery,za,
APN.JO,APN,aspen pharmacare holdings,za,
TKG.JO,TKG,telkom soc,za,
ABG.JO,ABG,absa group,za,
SPG.JO,SPG,super group,za,
AVI.JO,AVI,avi,za,
ARI.JO,ARI,african rainbow minerals,za,
MSM.JO,MSM,massmart holdings,za,
REM.JO,REM,remgro,za,
MTN.JO,MTN,mtn group,za,
ANG.JO,ANG,anglogold ashanti,za,
SAP.JO,SAP,sappi,za,
SOL.JO,SOL,sasol,za,
TBS.JO,TBS,tiger brands,za,
MRP.JO,MRP,mr price group,za,
TFG.JO,TFG,foschini group,za,
NHM.JO,NHM,northam platinum,za,
BVT.JO,BVT,bidvest group,za,
CLS.JO,CLS,clicks group,za,
EXX.JO,EXX,exxaro resources,za,
PIK.JO,PIK,pick n pay stores,za,
SHP.JO,SHP,shoprite holdings,za,
HAR.JO,HAR,harmony gold mining,za,
CPI.JO,CPI,capitec bank holdings,za,
AMS.JO,AMS,anglo american platinum,za,
BAW.JO,BAW,barloworld,za,
TRU.JO,TRU,truworths international,za,
GFI.JO,GFI,gold fields,za,
FSR.JO,FSR,firstrand,za,
TCP.JO,TCP,transaction capital,za,
IPL.JO,IPL,imperial logistics,za,
JSE.JO,JSE,jse,za,
IMP.JO,IMP,impala platinum holdings,za,
KIO.JO,KIO,kumba iron ore,za,
BID.JO,BID,bid,za,
DCP.JO,DCP,dischem pharmacies,za,
NRP.JO,NRP,nepi rockcastle,za,
PPH.JO,PPH,pepkor holdings,za,
VOD.JO,VOD,vodacom group,za,
DGH.JO,DGH,distell group holdings,za,
OMU.JO,OMU,old mutual,za,
